Schedule,Total Return,CAGR,Annual Vol,Sharpe,Max Drawdown,Calmar,Avg Turnover/Trade Date,Num Trade Dates,Avg BUY NOW Count,Avg WAIT Count,Avg DO NOT BUY,Avg SGOV Weight,run_name,start_date,end_date,top_k,allocation_mode,execution_mode,benchmark_hurdle,hold_band,transaction_cost_bps
Weekly,0.0924392258712671,0.4316240481126281,0.2119559392817556,1.775189594242578,-0.0823079440374946,5.2440144527969945,0.5861761053838462,12,2.333333333333333,2.6666666666666665,0.0,0.3166666666666667,start_2026-01-01__topk_5__alloc_momentum_proportional__exec_overlay,2026-01-01,2026-04-03,5,momentum_proportional,overlay,spy,,0
Weekly,0.324853523392447,0.4021106195936108,0.3130641604844289,1.2359943987863469,-0.2504588716582693,1.6054956126379822,0.6459896892074456,42,3.857142857142857,2.119047619047619,0.0238095238095238,7.930164461608259e-18,start_2025-06-01__topk_6__alloc_momentum_proportional__exec_pure_topk,2025-06-01,2026-04-03,6,momentum_proportional,pure_topk,spy,,0
Weekly,0.08570963876946,0.3961692626592652,0.2077130073739163,1.6880589160895156,-0.0819813590849962,4.832431019453174,0.4536881564527877,12,1.9166666666666667,2.083333333333333,0.0,0.4249999999999999,start_2026-01-01__topk_4__alloc_equal__exec_overlay,2026-01-01,2026-04-03,4,equal,overlay,spy,,0
Weekly,0.08570963876946,0.3961692626592652,0.2077130073739163,1.6880589160895156,-0.0819813590849962,4.832431019453174,0.4536881564527877,12,1.9166666666666667,2.083333333333333,0.0,0.4249999999999999,start_2026-01-01__topk_4__alloc_score_proportional__exec_overlay,2026-01-01,2026-04-03,4,score_proportional,overlay,spy,,0
Weekly,0.08570963876946,0.3961692626592652,0.2077130073739163,1.6880589160895156,-0.0819813590849962,4.832431019453174,0.4536881564527877,12,1.9166666666666667,2.083333333333333,0.0,0.4249999999999999,start_2026-01-01__topk_4__alloc_momentum_proportional__exec_overlay,2026-01-01,2026-04-03,4,momentum_proportional,overlay,spy,,0
Weekly,0.2939215086038365,0.3628723220318608,0.2944366558028133,1.1980493606452671,-0.2391951866270792,1.517055285053048,0.6637114169091253,42,3.857142857142857,2.119047619047619,0.0238095238095238,-4.2294210461910717e-17,start_2025-06-01__topk_6__alloc_score_proportional__exec_pure_topk,2025-06-01,2026-04-03,6,score_proportional,pure_topk,spy,,0
Weekly,0.2886881387485016,0.3562521674845365,0.2903440150280609,1.193789361899314,-0.2392093480104548,1.4892903243437052,0.664114502766745,42,3.857142857142857,2.119047619047619,0.0238095238095238,-5.2867763077388404e-17,start_2025-06-01__topk_6__alloc_equal__exec_pure_topk,2025-06-01,2026-04-03,6,equal,pure_topk,spy,,0
Weekly,0.2604250360450919,0.3205936872442243,0.1544114540050756,1.868432338460944,-0.0808461444667217,3.965478989244669,0.4462112737179639,42,2.0,1.0,0.0,0.5,start_2025-06-01__topk_3__alloc_equal__exec_overlay,2025-06-01,2026-04-03,3,equal,overlay,spy,,0
Weekly,0.2604250360450919,0.3205936872442243,0.1544114540050756,1.868432338460944,-0.0808461444667217,3.965478989244669,0.4462112737179639,42,2.0,1.0,0.0,0.5,start_2025-06-01__topk_3__alloc_score_proportional__exec_overlay,2025-06-01,2026-04-03,3,score_proportional,overlay,spy,,0
Weekly,0.2604250360450919,0.3205936872442243,0.1544114540050756,1.868432338460944,-0.0808461444667217,3.965478989244669,0.4462112737179639,42,2.0,1.0,0.0,0.5,start_2025-06-01__topk_3__alloc_momentum_proportional__exec_overlay,2025-06-01,2026-04-03,3,momentum_proportional,overlay,spy,,0
Quarterly,0.2570602326845592,0.3163590946787444,0.3497452960194879,0.9584906095296868,-0.2339744977310796,1.3521093014263217,0.1063916709888073,42,1.4130434782608696,3.4782608695652173,0.5869565217391305,0.0869565217391304,start_2025-06-01__topk_6__alloc_momentum_proportional__exec_pure_topk,2025-06-01,2026-04-03,6,momentum_proportional,pure_topk,spy,,0
Weekly,0.0691172769916435,0.3115792480275858,0.2198807943563182,1.3263582504385871,-0.0859917226265165,3.6233632553315855,0.538561356033005,12,2.9166666666666665,3.083333333333333,0.0,0.3215581669468747,start_2026-01-01__topk_6__alloc_momentum_proportional__exec_overlay,2026-01-01,2026-04-03,6,momentum_proportional,overlay,spy,,0
Quarterly,0.24850251236079,0.3055995341533921,0.3405477124863343,0.9509705141623656,-0.2310245646412333,1.3228010390495446,0.1381013065064142,42,1.4130434782608696,3.4782608695652173,0.5869565217391305,0.117391304347826,start_2025-06-01__topk_6__alloc_score_proportional__exec_pure_topk,2025-06-01,2026-04-03,6,score_proportional,pure_topk,spy,,0
Quarterly,0.2431063008477534,0.2988225446336963,0.3644239585359005,0.8980376779028095,-0.2419040528966948,1.2352936672843118,0.0925348462753411,42,1.108695652173913,2.9565217391304346,0.5,0.0869565217391304,start_2025-06-01__topk_5__alloc_momentum_proportional__exec_pure_topk,2025-06-01,2026-04-03,5,momentum_proportional,pure_topk,spy,,0
Quarterly,0.2431063008477532,0.2988225446336958,0.3644239585359005,0.8980376779028088,-0.2419040528966948,1.23529366728431,0.0925348462753411,42,1.108695652173913,2.9565217391304346,0.5,0.0869565217391304,start_2025-06-01__topk_5__alloc_equal__exec_pure_topk,2025-06-01,2026-04-03,5,equal,pure_topk,spy,,0
Weekly,0.2422411354599307,0.2977365520182005,0.2721053721977332,1.0934452117922104,-0.209310463366108,1.4224637757235532,0.5373863058040987,42,2.642857142857143,1.3571428571428572,0.0,0.1999999999999999,start_2025-06-01__topk_4__alloc_equal__exec_pure_topk,2025-06-01,2026-04-03,4,equal,pure_topk,spy,,0
Weekly,0.2422411354599307,0.2977365520182005,0.2721053721977332,1.0934452117922104,-0.209310463366108,1.4224637757235532,0.5373863058040987,42,2.642857142857143,1.3571428571428572,0.0,0.1999999999999999,start_2025-06-01__topk_4__alloc_score_proportional__exec_pure_topk,2025-06-01,2026-04-03,4,score_proportional,pure_topk,spy,,0
Weekly,0.2422411354599307,0.2977365520182005,0.2721053721977332,1.0934452117922104,-0.209310463366108,1.4224637757235532,0.5373863058040987,42,2.642857142857143,1.3571428571428572,0.0,0.1999999999999999,start_2025-06-01__topk_4__alloc_momentum_proportional__exec_pure_topk,2025-06-01,2026-04-03,4,momentum_proportional,pure_topk,spy,,0
Quarterly,0.2332568456451256,0.28646810992406,0.3633324951856848,0.8734706635116278,-0.2419040528966947,1.1842220355290882,0.1054607111667139,42,1.108695652173913,2.9565217391304346,0.5,0.1347826086956521,start_2025-06-01__topk_5__alloc_score_proportional__exec_pure_topk,2025-06-01,2026-04-03,5,score_proportional,pure_topk,spy,,0
Quarterly,0.2313958205400785,0.2841360037976264,0.3342050050609056,0.9128960951709304,-0.2241272198652413,1.2677442925873348,0.0930896008217658,42,1.4130434782608696,3.4782608695652173,0.5869565217391305,0.0869565217391303,start_2025-06-01__topk_6__alloc_equal__exec_pure_topk,2025-06-01,2026-04-03,6,equal,pure_topk,spy,,0
Weekly,0.0633319584756639,0.2830132785416801,0.2105243281781995,1.2724747156641054,-0.0815042535332325,3.4723743396568167,0.5628348022004451,12,2.9166666666666665,3.083333333333333,0.0,0.3096605713878268,start_2026-01-01__topk_6__alloc_score_proportional__exec_overlay,2026-01-01,2026-04-03,6,score_proportional,overlay,spy,,0
Weekly,0.2000038518211608,0.2449054815519511,0.3108303375462574,0.8622775517717763,-0.2563225243582969,0.9554582928873364,0.6680162715626166,42,3.142857142857143,1.8571428571428568,0.0,0.0,start_2025-06-01__topk_5__alloc_equal__exec_pure_topk,2025-06-01,2026-04-03,5,equal,pure_topk,spy,,0
Weekly,0.2000038518211608,0.2449054815519511,0.3108303375462574,0.8622775517717763,-0.2563225243582969,0.9554582928873364,0.6680162715626166,42,3.142857142857143,1.8571428571428568,0.0,0.0,start_2025-06-01__topk_5__alloc_momentum_proportional__exec_pure_topk,2025-06-01,2026-04-03,5,momentum_proportional,pure_topk,spy,,0
Weekly,0.2000038518211606,0.2449054815519509,0.3108303375462574,0.8622775517717755,-0.2563225243582969,0.9554582928873356,0.6680162715626166,42,3.142857142857143,1.8571428571428568,0.0,0.0,start_2025-06-01__topk_5__alloc_score_proportional__exec_pure_topk,2025-06-01,2026-04-03,5,score_proportional,pure_topk,spy,,0
Weekly,0.0550247771064831,0.2428182582064093,0.2042412714953145,1.15146020567996,-0.078600869574079,3.089256639553587,0.5640865562093454,12,2.9166666666666665,3.083333333333333,0.0,0.3194444444444443,start_2026-01-01__topk_6__alloc_equal__exec_overlay,2026-01-01,2026-04-03,6,equal,overlay,spy,,0
Weekly,0.1967649876030732,0.2408695393779891,0.2207347537090988,1.085663772124432,-0.1797073443930478,1.340343324261529,0.4436744657281713,42,2.0,1.0,0.0,0.3999999999999998,start_2025-06-01__topk_3__alloc_equal__exec_pure_topk,2025-06-01,2026-04-03,3,equal,pure_topk,spy,,0
Weekly,0.1967649876030732,0.2408695393779891,0.2207347537090988,1.085663772124432,-0.1797073443930478,1.340343324261529,0.4436744657281713,42,2.0,1.0,0.0,0.3999999999999998,start_2025-06-01__topk_3__alloc_score_proportional__exec_pure_topk,2025-06-01,2026-04-03,3,score_proportional,pure_topk,spy,,0
Weekly,0.1967649876030732,0.2408695393779891,0.2207347537090988,1.085663772124432,-0.1797073443930478,1.340343324261529,0.4436744657281713,42,2.0,1.0,0.0,0.3999999999999998,start_2025-06-01__topk_3__alloc_momentum_proportional__exec_pure_topk,2025-06-01,2026-04-03,3,momentum_proportional,pure_topk,spy,,0
