ticker,last_close,ret_6m,realized_vol20,atr15,above_ema10,above_sma200,sma50_gt_sma200,macd,macd_signal,macd_hist,weekly_macd_hist,breakout_89d,breakout_recent,exit_13d,raw_score,selected,entry_label,model_target_alloc_pct,current_alloc_pct,target_alloc_pct,delta_pct_points,action,rationale
VGK,83.22000122070312,0.04558575570945855,0.24736076903832768,1.7680801756875808,True,True,True,-1.0667248050845757,-1.423982146821578,0.3572573417370024,-1.1091521174384207,False,False,False,9.797561715182955,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
EWD,49.54999923706055,0.05364205647026643,0.29881945086396267,1.2633331298828125,True,True,True,-0.9447255362854889,-1.1158401024180313,0.1711145661325424,-0.715711182448237,False,False,False,9.783968171863863,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
EWI,54.310001373291016,0.04981229598973158,0.28455534894325235,1.2599993387858073,True,True,True,-0.4387118412398294,-0.7940268780944341,0.35531503685460464,-0.7937086298701022,False,False,False,9.773228307692689,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
QCLN,46.5099983215332,0.0775440341432585,0.4769248616970931,1.714065222167902,True,True,True,-0.6620241805121196,-0.68121732064527,0.01919314013315032,-0.8190984306213118,False,False,False,9.700735765118342,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
JEPQ,55.59000015258789,0.0259094390369059,0.21152114437414682,0.9890559519912145,True,True,True,-0.5298788336153848,-0.502617990904801,-0.02726084271058382,-0.5634260344067472,False,True,False,9.679220428601466,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
EEMV,64.66999816894531,0.02679943887431313,0.23202779059184533,1.1873336791992188,True,True,True,-0.6121726901871085,-0.716600105677154,0.10442741549004553,-0.522114796237297,False,False,False,9.652717431154677,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
DIA,465.05999755859375,0.009296148562468076,0.16603368047678096,7.171568082209399,True,True,True,-5.91875494390365,-6.917311456740261,0.9985565128366112,-5.949358494397243,False,False,False,9.604986086970374,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
AMLP,52.369998931884766,0.16410607070051575,0.11154667177552992,0.8153338114420573,False,True,True,0.3858756606534186,0.5758394343763276,-0.18996377372290896,0.4950944387384473,False,False,False,9.60362214423108,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
VNQ,90.2300033569336,0.005096519334546912,0.16842532161196422,1.4892079463302206,True,True,True,-0.9648686817539698,-0.957481044464485,-0.007387637289484772,-0.34912705482243,False,True,False,9.56279067613712,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
EWS,28.290000915527344,0.014286690230606913,0.22342364672159867,0.5153335571289063,True,True,True,-0.011511500684349585,-0.10891404819194697,0.09740254750759739,-0.19767815073304817,False,False,False,9.553529785877725,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
URA,48.900001525878906,0.06163145091502753,0.47879238281335673,2.2579999287923176,True,True,True,-1.112662678743554,-1.2464001165192835,0.13373743777572944,-1.0270637771998095,False,False,False,9.55299104610475,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
EWN,58.11000061035156,0.025300645359997986,0.2972899720501324,1.4306660970052083,True,True,True,-0.9078544065813219,-1.0030322140839014,0.09517780750257954,-0.8196023733840769,False,False,False,9.52901505910683,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
XT,68.66999816894531,0.011788309758475002,0.23746198311631045,1.3327987670898438,True,True,True,-0.8834818328934517,-0.9809757155259359,0.09749388263248415,-0.9756599209885033,False,False,False,9.507147854441854,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
MLPA,53.81999969482422,0.15421860794523723,0.12208409915276018,0.7660008748372396,False,True,True,0.3616395002631094,0.5668369732359131,-0.20519747297280366,0.5044117177588545,False,False,False,9.496002300622044,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
VWO,53.81999969482422,0.006566882209560143,0.2591035054932101,1.099999237060547,True,True,True,-0.7221805427757886,-0.8088866305844221,0.08670608780863354,-0.6568317019871,False,False,False,9.42319718944442,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
FEZ,62.45000076293945,0.002662146338183069,0.28460283877656767,1.533867776324325,True,True,True,-1.0228541743712611,-1.2831242918341508,0.26027011746288964,-1.0233405506638935,False,False,False,9.34470376243187,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
KSA,39.380001068115234,-0.009778446842081179,0.24424493024479477,0.7206667582194011,True,True,True,0.3047746503965598,0.07580330352196375,0.22897134687459608,-0.0710872391822636,False,False,False,9.299733481920374,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
ARKQ,114.9000015258789,0.01475535715272347,0.41388547598050013,4.1486658732096355,True,True,True,-2.5452417116879644,-2.3040517136898435,-0.2411899979981209,-2.462972103044949,False,True,False,9.236520749010449,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
EIS,117.8499984741211,0.19379355196210613,0.3365595065250183,2.8833333333333333,True,True,True,-1.2875245346439073,-0.9006435213928057,-0.3868810132511016,-0.9515410437671425,False,False,False,8.993838875484139,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
ESGE,45.33000183105469,0.05323891902106381,0.32935296764956606,1.179333241780599,False,True,True,-0.6972451781896254,-0.7160440453245287,0.018798867134903308,-0.5703124318254225,False,False,False,8.728801529800062,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
TAN,54.849998474121094,0.2167257374940046,0.3669367509884987,1.8446670532226563,False,True,True,-0.2510843718395961,-0.19278569018251543,-0.05829868165708066,-0.38958836803659747,False,False,False,8.150979471586213,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
XAR,259.5799865722656,0.09859296455801969,0.36023502165606736,8.694801941168283,True,True,True,-5.5451852381195295,-4.69244340037474,-0.8527418377447891,-3.4943436399564956,False,False,False,8.088833798305952,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
XLI,163.77000427246094,0.0714738093255729,0.2217557082220504,3.566938810062057,True,True,True,-2.1963216735189235,-2.1862030996066113,-0.01011857391231219,-1.1230574807118163,False,False,False,8.075991707901094,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
EMXC,78.43000030517578,0.17327039811618916,0.36593975816048485,2.2926671346028646,False,True,True,-0.9984930108947623,-0.9613736384004092,-0.03711937249435304,-0.6894891878099223,False,False,False,7.757790779710412,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
